We are in google colab
Overriding config with config/train_southpark.py:
# train a southpark model
# good for debugging and playing on macbooks and such

out_dir = 'out-southpark'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = True

wandb_log = False # override via command line if you like
wandb_project = 'southpark'
wandb_run_name = 'mini-gpt'

dataset = 'southpark'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: dtype = float16
tokens per iteration will be: 16,384
found vocab_size = 50257 (inside data/southpark/meta.pkl)
Initializing a new model from scratch
number of parameters: 29.92M
num decayed parameter tensors: 26, with 30,013,824 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0, train loss 10.872345, val loss 10.876057, perplexity 52894.605469, mean time per step 20.30s
iter 0: loss 10.8737, time 36677.37ms, mfu -100.00%
iter 10: loss 9.7524, time 29.96ms, mfu 32.71%
iter 20: loss 8.8350, time 30.01ms, mfu 32.70%
iter 30: loss 7.6168, time 30.02ms, mfu 32.70%
iter 40: loss 6.4611, time 30.00ms, mfu 32.69%
iter 50: loss 5.8116, time 30.02ms, mfu 32.69%
iter 60: loss 5.5374, time 30.43ms, mfu 32.64%
iter 70: loss 5.3039, time 30.31ms, mfu 32.61%
iter 80: loss 5.0157, time 30.12ms, mfu 32.60%
iter 90: loss 4.9413, time 29.90ms, mfu 32.62%
iter 100: loss 4.9406, time 30.11ms, mfu 32.61%
iter 110: loss 4.6865, time 30.23ms, mfu 32.59%
iter 120: loss 4.5773, time 29.97ms, mfu 32.60%
iter 130: loss 4.6061, time 30.20ms, mfu 32.58%
iter 140: loss 4.5837, time 29.99ms, mfu 32.59%
iter 150: loss 4.4300, time 30.00ms, mfu 32.60%
iter 160: loss 4.4034, time 30.61ms, mfu 32.54%
iter 170: loss 4.4989, time 30.22ms, mfu 32.53%
iter 180: loss 4.4358, time 30.42ms, mfu 32.50%
iter 190: loss 4.2288, time 29.99ms, mfu 32.52%
iter 200: loss 4.2744, time 30.03ms, mfu 32.53%
iter 210: loss 4.2067, time 29.94ms, mfu 32.55%
iter 220: loss 4.1270, time 30.76ms, mfu 32.48%
iter 230: loss 4.2291, time 29.83ms, mfu 32.52%
iter 240: loss 4.1049, time 30.02ms, mfu 32.53%
step 250, train loss 4.023615, val loss 4.374956, perplexity 79.436317, mean time per step 0.20s
iter 250: loss 4.0768, time 5541.10ms, mfu 29.29%
iter 260: loss 3.9745, time 29.74ms, mfu 29.66%
iter 270: loss 4.1300, time 30.38ms, mfu 29.92%
iter 280: loss 4.0380, time 30.01ms, mfu 30.19%
iter 290: loss 3.8400, time 30.05ms, mfu 30.43%
iter 300: loss 3.9958, time 29.69ms, mfu 30.69%
iter 310: loss 3.9668, time 30.21ms, mfu 30.87%
iter 320: loss 4.0003, time 30.06ms, mfu 31.04%
iter 330: loss 3.8439, time 31.11ms, mfu 31.09%
iter 340: loss 3.9784, time 30.25ms, mfu 31.22%
iter 350: loss 3.8791, time 30.64ms, mfu 31.29%
iter 360: loss 3.8665, time 30.16ms, mfu 31.41%
iter 370: loss 3.8270, time 30.19ms, mfu 31.52%
iter 380: loss 3.8999, time 30.67ms, mfu 31.56%
iter 390: loss 3.7206, time 30.26ms, mfu 31.64%
iter 400: loss 3.8906, time 30.01ms, mfu 31.74%
iter 410: loss 3.7592, time 30.09ms, mfu 31.83%
iter 420: loss 3.7579, time 30.32ms, mfu 31.87%
iter 430: loss 3.7373, time 29.90ms, mfu 31.96%
iter 440: loss 3.6984, time 30.07ms, mfu 32.03%
iter 450: loss 3.7608, time 30.21ms, mfu 32.07%
iter 460: loss 3.6814, time 30.01ms, mfu 32.13%
iter 470: loss 3.7514, time 30.11ms, mfu 32.17%
iter 480: loss 3.6992, time 30.21ms, mfu 32.19%
iter 490: loss 3.7687, time 29.79ms, mfu 32.26%
step 500, train loss 3.548282, val loss 4.111544, perplexity 61.040871, mean time per step 0.12s
iter 500: loss 3.6697, time 5782.75ms, mfu 29.05%
iter 510: loss 3.6584, time 29.98ms, mfu 29.42%
iter 520: loss 3.6377, time 29.97ms, mfu 29.75%
iter 530: loss 3.5556, time 30.06ms, mfu 30.03%
iter 540: loss 3.5466, time 30.51ms, mfu 30.24%
iter 550: loss 3.5582, time 30.34ms, mfu 30.45%
iter 560: loss 3.6165, time 30.71ms, mfu 30.59%
iter 570: loss 3.6159, time 30.04ms, mfu 30.79%
iter 580: loss 3.4642, time 30.24ms, mfu 30.96%
iter 590: loss 3.4988, time 30.28ms, mfu 31.10%
iter 600: loss 3.4580, time 30.30ms, mfu 31.22%
iter 610: loss 3.4581, time 30.44ms, mfu 31.32%
iter 620: loss 3.5468, time 30.09ms, mfu 31.44%
iter 630: loss 3.4216, time 30.06ms, mfu 31.56%
iter 640: loss 3.5116, time 30.25ms, mfu 31.64%
iter 650: loss 3.5600, time 29.21ms, mfu 31.83%
iter 660: loss 3.4430, time 30.24ms, mfu 31.89%
iter 670: loss 3.4848, time 30.12ms, mfu 31.95%
iter 680: loss 3.4567, time 30.08ms, mfu 32.02%
iter 690: loss 3.4089, time 29.81ms, mfu 32.10%
iter 700: loss 3.4513, time 29.89ms, mfu 32.17%
iter 710: loss 3.4383, time 29.99ms, mfu 32.22%
iter 720: loss 3.4303, time 30.15ms, mfu 32.25%
iter 730: loss 3.3536, time 30.09ms, mfu 32.28%
iter 740: loss 3.3721, time 30.07ms, mfu 32.31%
step 750, train loss 3.248209, val loss 3.997891, perplexity 54.483147, mean time per step 0.10s
iter 750: loss 3.3406, time 5818.83ms, mfu 29.10%
iter 760: loss 3.4191, time 30.18ms, mfu 29.43%
iter 770: loss 3.3309, time 30.11ms, mfu 29.74%
iter 780: loss 3.4114, time 29.99ms, mfu 30.04%
iter 790: loss 3.3428, time 30.09ms, mfu 30.29%
iter 800: loss 3.2408, time 29.82ms, mfu 30.55%
iter 810: loss 3.3265, time 29.87ms, mfu 30.77%
iter 820: loss 3.2941, time 30.42ms, mfu 30.92%
